,min_dist_H1ESC,min_dist_HFFC6,quartile_cat_H1ESC,quartile_cat_HFFC6,log2FoldChange,padj
ENSG00000103381,6.424905,0.05060221,large,small,2.9729180515967593,9.551633141006216e-104
ENSG00000168685,15.037829,1.722842,large,small,10.496507093480869,3.386076656544613e-33
ENSG00000140859,5.0794673,1.8978707,large,small,4.090937499408784,4.4574571709538056e-64
ENSG00000168615,5.913346,0.33193743,mid,small,4.50504654927909,9.592430288782068e-258
ENSG00000166173,8.642875,1.3137801,large,small,2.437256014057719,3.8252964956605016e-50
ENSG00000137449,15.953885,0.5416805,large,small,4.238326974684943,3.0184136903394294e-71
ENSG00000108557,3.9896197,0.826606,mid,small,5.1533558959387165,5.109440287616288e-174
ENSG00000172081,7.307912,2.1690383,large,small,2.803426021216161,1.2154827686408698e-96
ENSG00000179954,4.57732,2.015373,large,small,5.412677003492768,3.238637126438052e-194
ENSG00000100003,4.3055415,1.3463669,large,small,2.9624129000664157,1.4239352374788112e-29
ENSG00000164932,112.687454,2.8623514,large,small,5.4313612642874185,2.3041238355585686e-56
ENSG00000174099,5.569576,1.7388923,large,small,6.915662097316959,1.194532307854761e-240
ENSG00000084636,3.5467482,1.7424484,mid,small,3.562479926645927,2.9442440860763993e-84
ENSG00000108846,1.2416385,1.4895729,mid,small,6.835491624399792,7.361767505702855e-60
ENSG00000022277,28.936853,0.2484758,large,small,2.0244798997326843,2.0097884084477063e-67
ENSG00000152223,3.0733416,1.5982095,mid,small,2.535218611834243,3.5080961574696926e-29
ENSG00000273096,1.691935,1.9689163,mid,small,2.7523643018520634,0.012247270482215994
ENSG00000119917,11.770765,1.6585423,large,small,4.639032792382108,2.8016338713682263e-38
ENSG00000277972,1.4026812,1.8679286,mid,small,2.0645046647546743,2.9691923813264576e-31
ENSG00000130045,8.602777,0.6226575,large,small,2.3940360831906817,3.1387890188438523e-10
ENSG00000103187,1.0405593,0.68848854,mid,small,2.1841332204716712,1.6265256368100826e-72
ENSG00000011422,0.8529119,0.7263558,mid,small,3.226101357488412,4.747840087009113e-65
ENSG00000234719,16.770462,0.3449676,large,small,7.124851236468986,0.005159800029692782
ENSG00000131378,8.514781,0.7293136,large,small,3.7625266538512863,4.1490649941678927e-125
ENSG00000105810,4.307659,2.934797,mid,small,2.4126681626161806,2.243031828664405e-27
ENSG00000124191,21.588326,1.3648698,large,small,4.4665422947238955,6.38701724029883e-81
ENSG00000156050,2.2830906,1.6704919,mid,small,4.60268909438681,8.054495078537256e-27
ENSG00000157379,3.243962,0.5576498,mid,small,2.101712410392537,4.014403684188745e-33
ENSG00000100100,5.1993933,0.8919282,large,small,3.095947139122457,7.971835374707724e-29
ENSG00000167772,0.9857977,1.6755458,mid,small,2.0834392763538934,0.0004968774530396881
ENSG00000099377,1.9597124,0.2168188,mid,small,3.099326320186936,1.7147237523041897e-41
ENSG00000146648,22.223171,1.7189837,large,small,4.649552607343763,1.158007045223746e-190
ENSG00000108819,5.75977,1.8860004,large,small,2.847950344309558,1.507928351096492e-110
ENSG00000283538,3.5710952,0.51100886,mid,small,5.245805536768225,0.028917274741460105
ENSG00000112246,4.038361,1.112958,mid,small,6.858874488243503,5.410578367309395e-92
ENSG00000274315,9.476458,0.54720014,large,small,2.1898745547043927,0.002348191843499556
ENSG00000164172,4.2557282,2.5246518,mid,small,2.092583306550558,3.163803539154963e-42
ENSG00000168398,13.919076,0.58397764,large,small,6.078348128386273,3.744436665509442e-36
ENSG00000165521,2.4823024,0.8982601,mid,small,4.559474770377555,2.0920983745642156e-49
ENSG00000237172,1.8645103,1.5025764,mid,small,3.9807861485224922,7.090787418303686e-93
ENSG00000252835,3.0871987,1.307422,mid,small,2.984752532942578,1.2847625744201246e-20
ENSG00000158828,1.1229315,0.82874835,mid,small,3.0023111972319096,3.80823541796995e-79
ENSG00000237803,1.944149,0.95827,mid,small,6.272107136719801,0.012198602810543736
ENSG00000259426,6.5328345,1.0317522,large,small,4.225844344096121,1.5636960104776518e-10
ENSG00000255346,1.565723,1.416635,mid,small,5.90162010505217,0.01821990083700305
ENSG00000099250,1.5974281,0.07796442,mid,small,7.26131571346858,0.0
ENSG00000140937,13.734357,0.33178493,large,small,6.290626701291463,0.0
ENSG00000234494,2.919671,2.1970701,mid,small,4.8606053162936735,3.0306543667601364e-13
ENSG00000132510,4.0220366,1.361842,large,small,2.358260441499331,4.185836211467548e-27
ENSG00000111863,20.10568,0.63788223,large,small,2.031976500573554,0.015246057892951408
ENSG00000127920,4.5204854,0.58256173,mid,small,4.876185168688793,1.1265621222810646e-118
ENSG00000186889,1.393384,1.2243177,mid,small,2.511356134814097,3.9888697264622585e-10
ENSG00000106819,4.514448,0.2716347,mid,small,10.460389301791151,6.41931403929161e-05
ENSG00000070882,8.992389,3.0656817,large,small,2.5962711206888955,1.9388999457933787e-86
ENSG00000196460,11.648571,0.22861153,large,small,2.743919000485483,1.5245751075856512e-08
ENSG00000008256,12.660101,1.0784373,large,small,2.667230581898853,5.3770674338202336e-61
ENSG00000142173,10.414602,0.5961341,large,small,3.470616568558072,5.483454910836602e-127
ENSG00000065308,5.319839,1.6585878,large,small,3.743910413982742,4.68535669232556e-239
