,min_dist_GM12878,min_dist_H1ESC,quartile_cat_GM12878,quartile_cat_H1ESC,log2FoldChange,padj
ENSG00000162522,7.4852386,0.3364151,mid,small,6.567855004191069,4.721770354184083e-289
ENSG00000162437,13.419669,0.26742294,mid,small,5.048270350324308,1.6095267295308101e-112
ENSG00000105137,2.3604946,0.4649418,mid,small,8.89291391893449,5.452406521446613e-18
ENSG00000100626,2.1239982,0.63346803,mid,small,6.717664127248,9.230892509328607e-19
ENSG00000103740,1.1773527,0.9496346,mid,small,2.2436498208623608,1.499856365310468e-10
ENSG00000104892,1.5004299,0.19678007,mid,small,2.654976900440399,4.305147686410764e-07
ENSG00000170703,3.252713,0.7713939,mid,small,4.775283423702753,1.808290103477964e-13
ENSG00000141198,15.820173,0.15865527,large,small,4.360433010245695,1.3835149510090166e-142
ENSG00000064763,3.5854526,0.18807696,mid,small,4.722477583073152,4.1933575731761296e-72
ENSG00000234261,6.679071,0.37376484,mid,small,6.927714166409824,1.3572704354493334e-15
ENSG00000176485,5.5808516,0.7404396,mid,small,2.694961982010753,2.761200131559429e-103
ENSG00000142089,1.5793492,0.93782204,mid,small,6.168598448371125,1.2755631526265975e-143
ENSG00000128965,4.0269613,0.21493226,large,small,2.5156504339783146,2.3191513394554324e-39
ENSG00000128045,4.4151106,2.7470834,mid,small,9.100178850267536,3.3100374707500525e-52
ENSG00000142192,2.4627047,0.14612919,mid,small,2.2446490169569175,0.0
ENSG00000197283,2.436298,1.1388602,mid,small,3.0548513042936594,1.0313150854781856e-258
ENSG00000206557,9.794207,1.2397585,mid,small,8.611205267111146,0.0
ENSG00000169862,30.072971,1.8046403,mid,small,7.832889697385055,4.099708431629172e-26
ENSG00000122707,4.6141567,0.3431469,mid,small,5.475539640100638,1.0432904555784457e-42
ENSG00000147601,3.4673257,0.24459194,mid,small,5.399746283398782,0.0
ENSG00000170190,3.7417054,0.47068223,large,small,2.150086123916641,1.5560803763956664e-26
ENSG00000079393,2.916637,0.48008636,mid,small,2.7665731676170546,0.011986350977713433
ENSG00000119888,4.0767694,0.99219894,mid,small,6.559110034386896,9.702900047150769e-282
ENSG00000120594,8.332487,0.4980928,large,small,7.122912568186517,5.317950260941591e-165
ENSG00000165821,5.2222595,0.21469131,large,small,5.6539398220249,0.0
ENSG00000160201,2.7750475,0.04229706,mid,small,2.5839255384929203,9.867080587987097e-09
ENSG00000172346,6.202843,0.8483032,large,small,3.852715744663252,1.408128322668785e-10
ENSG00000254004,2.3934011,0.036257055,mid,small,2.126220404406333,6.125346701424472e-88
ENSG00000129538,1.3762479,0.33291915,mid,small,2.312551596732483,0.00020845170796133654
ENSG00000186868,9.23951,0.5872297,large,small,4.284141814916139,3.2381980820931946e-09
ENSG00000172554,29.348614,0.18416575,mid,small,8.8935281873957,5.881478714663334e-10
ENSG00000154639,15.748567,0.3148617,large,small,9.357319651272364,2.1529127233223732e-211
ENSG00000134769,24.08619,0.16758735,large,small,6.048887378873271,2.332839092631942e-88
ENSG00000073712,2.268584,0.63638365,mid,small,2.0771933111900585,5.641095693200677e-150
ENSG00000180304,2.9402664,0.9671936,mid,small,2.6028707079601925,9.254146078463094e-252
ENSG00000084444,13.288068,1.8460953,large,small,6.35556859900822,3.074143189628645e-114
ENSG00000101335,5.423455,0.6469002,large,small,6.257745011676111,6.374826068990936e-247
ENSG00000101384,3.4635806,0.26738933,mid,small,2.8203402160189426,7.612081398747027e-124
ENSG00000088305,4.3303666,0.6845174,large,small,8.718184745364352,0.0
ENSG00000113319,16.903042,6.658879,mid,small,7.301143974012689,3.8612090621924477e-112
ENSG00000164418,9.566902,1.6099468,mid,small,6.09044787363388,2.912313672215865e-05
ENSG00000073008,3.7302854,0.52669823,large,small,2.142464392750144,8.368012294371006e-30
ENSG00000099284,11.867953,0.28083134,large,small,6.7278791429148885,1.1687127778800264e-14
ENSG00000148948,20.12935,0.7620043,large,small,6.881745886074349,0.007144134688560441
ENSG00000223547,2.8244123,0.6255505,mid,small,2.4874327937296763,6.356599907135738e-41
ENSG00000129159,2.1705391,0.2822719,mid,small,6.088028973628156,0.015426921514207024
ENSG00000163618,30.192886,0.8812738,mid,small,9.794772609037153,8.805555065874833e-12
ENSG00000183578,6.149181,1.0243306,large,small,4.480026155682007,0.04819001301275725
ENSG00000112655,5.239177,0.4958226,mid,small,4.326110730553846,0.0
ENSG00000171877,6.129202,0.5299518,large,small,3.5933005855944016,5.726016099811845e-57
